S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Car_Age,Brand,Model
0,Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,Manual,First,26.6 km/kg,998.0,58.16,5.0,,1.75,14,Maruti,WagonR
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,19.67 kmpl,1582.0,126.2,5.0,,12.5,9,Hyundai,Creta1.6
2,Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2 kmpl,1199.0,88.7,5.0,8.61 Lakh,4.5,13,Honda,JazzV
3,Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77 kmpl,1248.0,88.76,7.0,,6.0,12,Maruti,ErtigaVDI
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2 kmpl,1968.0,140.8,5.0,,17.74,11,Audi,A4New
5,Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,Manual,First,21.1 km/kg,814.0,55.2,5.0,,2.35,12,Hyundai,EONLPG
6,Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,23.08 kmpl,1461.0,63.1,5.0,,3.5,11,Nissan,MicraDiesel
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.36 kmpl,2755.0,171.5,8.0,21 Lakh,17.5,8,Toyota,InnovaCrysta
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,20.54 kmpl,1598.0,103.6,5.0,,5.2,11,Volkswagen,VentoDiesel
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,22.3 kmpl,1248.0,74.0,5.0,,1.95,12,Tata,IndicaVista
10,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56 kmpl,1462.0,103.25,5.0,10.65 Lakh,9.95,6,Maruti,CiazZeta
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,16.8 kmpl,1497.0,116.3,5.0,,4.49,12,Honda,City1.5
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,25.2 kmpl,1248.0,74.0,5.0,,5.6,9,Maruti,SwiftVDI
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,12.7 kmpl,2179.0,187.7,5.0,,27.0,10,Land Rover,RoverRange
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,0.0 kmpl,2179.0,115.0,5.0,,17.5,12,Land Rover,RoverFreelander
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.5 kmpl,2477.0,175.56,7.0,32.01 Lakh,15.0,10,Mitsubishi,PajeroSport
16,Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.8 kmpl,1498.0,98.6,5.0,,5.4,8,Honda,AmazeS
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.4 kmpl,1248.0,74.0,5.0,,5.99,7,Maruti,SwiftDDiS
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,20.45 kmpl,1461.0,83.8,5.0,,6.34,10,Renault,Duster85PS
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,14.84 kmpl,2143.0,167.62,5.0,,28.0,10,Mercedes-Benz,NewC-Class
20,BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69 kmpl,1995.0,190.0,5.0,47.87 Lakh,18.55,10,BMW,3Series
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,23.65 kmpl,1248.0,88.5,5.0,,8.25,9,Maruti,SCross
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,13.53 kmpl,1984.0,177.01,5.0,,23.5,9,Audi,A62011-2015
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,18.5 kmpl,1197.0,80.0,5.0,,1.87,14,Hyundai,i201.2
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,14.4 kmpl,1598.0,103.6,5.0,,2.85,14,Volkswagen,VentoPetrol
25,Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.8 kmpl,1497.0,116.3,5.0,,4.25,12,Honda,CityCorporate
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,23.08 kmpl,1461.0,63.1,5.0,,4.25,12,Nissan,MicraDiesel
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.92 kmpl,998.0,67.1,5.0,,2.75,11,Maruti,AltoK10
28,Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.5 kmpl,1199.0,88.7,5.0,10.57 Lakh,9.9,6,Honda,WRVi-VTEC
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8 kmpl,2494.0,102.0,7.0,,4.0,17,Toyota,Innova2.5
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.01 kmpl,1461.0,108.45,5.0,,7.75,11,Renault,Duster110PS
31,Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.53 kmpl,1798.0,138.1,5.0,,6.75,12,Toyota,CorollaAltis
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18 kmpl,2696.0,184.0,7.0,,12.5,11,Mahindra,SsangyongRexton
33,Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.4 kmpl,2698.0,179.5,5.0,,11.5,14,Audi,A62.7
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09 kmpl,1598.0,103.5,5.0,12.33 Lakh,6.98,10,Volkswagen,Vento1.6
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,14.0 kmpl,1061.0,64.0,5.0,,1.85,15,Maruti,WagonR
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3 kmpl,1248.0,88.5,5.0,11.12 Lakh,8.63,6,Maruti,VitaraBrezza
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.15 kmpl,1198.0,82.0,5.0,,4.85,7,Mahindra,KUV100
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.74 kmpl,2987.0,254.8,5.0,,28.0,11,Mercedes-Benz,M-ClassML
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.07 kmpl,1199.0,73.9,5.0,,5.0,11,Volkswagen,PoloDiesel
40,Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7 kmpl,796.0,46.3,5.0,,1.25,16,Maruti,AltoLXi
41,Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.4 kmpl,624.0,37.5,4.0,,1.53,10,Tata,NanoLX
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32 kmpl,1198.0,77.0,6.0,,5.58,7,Mahindra,KUV100
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5 kmpl,1197.0,82.9,5.0,,4.74,10,Hyundai,i20Magna
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.62 kmpl,1999.0,149.92,5.0,23.64 Lakh,8.85,10,Hyundai,Elantra2.0
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.28 kmpl,1798.0,138.03,5.0,,10.11,8,Toyota,CorollaAltis
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9 kmpl,1991.0,112.2,5.0,,4.25,16,Hyundai,ElantraCRDi
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.25 kmpl,2694.0,163.7,7.0,18.64 Lakh,10.95,12,Toyota,InnovaCrysta
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.4 kmpl,1120.0,71.0,5.0,,3.85,10,Hyundai,Xcent1.1
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55 kmpl,2498.0,105.0,6.0,,5.5,12,Mahindra,TharCRDe
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11 kmpl,1968.0,174.33,5.0,,21.43,9,Audi,A42.0
51,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9 kmpl,1248.0,74.0,5.0,,4.25,10,Maruti,SwiftLDI
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8 kmpl,1248.0,75.0,5.0,,3.3,10,Maruti,SwiftLdi
53,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4 kmpl,1248.0,74.0,5.0,,3.85,11,Maruti,SwiftVDI
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9 kmpl,1197.0,82.0,5.0,,3.6,9,Hyundai,Grandi10
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.04 kmpl,1598.0,103.2,5.0,,3.99,9,Volkswagen,Vento2013-2015
56,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17 kmpl,799.0,53.3,5.0,,3.3,7,Renault,KWIDRXT
57,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36 kmpl,1197.0,78.9,5.0,,2.07,14,Hyundai,i10Asta
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,13.29 kmpl,1995.0,147.6,5.0,,7.75,14,Nissan,X-TrailSLX
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.2 kmpl,998.0,67.1,5.0,,2.25,14,Maruti,ZenEstilo
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68 kmpl,2393.0,147.8,8.0,19.34 Lakh,16.5,7,Toyota,InnovaCrysta
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0 kmpl,1399.0,68.0,5.0,,2.75,14,Ford,FigoDiesel
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.74 kmpl,1796.0,186.0,5.0,,26.7,9,Mercedes-Benz,NewC-Class
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.8 kmpl,2148.0,170.0,5.0,,10.0,13,Mercedes-Benz,NewC-Class
